,id_original,ner_parent,ner_aggregated,parent_text,aggregated
48,fj7nf04,"['Sunil Gavaskar', 'muslim', 'Mumbai']",['Australia'],I recall a story about Sunil Gavaskar ji doing something similar for a muslim family during riots in Mumbai. He said that they will have to kill him first before they could harm him. Too young to see him play cricket but this is the story I really find amazing. It takes an insane amount of courage to do some thing like this.,I think you are thinking of the time when he was asked to leave the field during a test match in Australia.
49,1572519216678596608,"['the Tory Party', 'MPs &amp', 'Roubles', ""'Dirty Russian Blood Money'"", 'a Russian Oligarchs (Ex', 'KGB', 'NATO']","['the Tory Party', 'MPs &amp', 'Roubles', ""'Dirty Russian Blood Money'"", 'a Russian Oligarchs (Ex', 'KGB', 'NATO']","I have concerns about the Tory Party, MPs &amp; Ministers that have taken millions of £££'s and Roubles, in what now turns out to be 'Dirty Russian Blood Money' and a Prime Minister that went without security to a Russian Oligarchs (Ex KGB) home just after a NATO meeting! Do you","I have concerns about the Tory Party, MPs &amp; Ministers that have taken millions of £££'s and Roubles, in what now turns out to be 'Dirty Russian Blood Money' and a Prime Minister that went without security to a Russian Oligarchs (Ex KGB) home just after a NATO meeting! Do you"
50,fj9mu2e,[],['FSC'],"""As an effort to further the inclusion, lanyards were given out to those who bought tickets, on which there was a special section for writing one’s pronouns. This was a remarkable touch that a lot of people very much appreciated."" No IT conference is complete without a heap of unrelated bullshit.",I'm sure the lanyards were made from recycled plastic and the paper for the badges was FSC certified.
51,fj68s8r,"['20s and', '30s', 'those turbulent teenage years', 'nostalga']","['30', '10']",I think it's harder to make friends as you get older and most of your childhood friendships that you maintain into your 20s and 30s are built in those turbulent teenage years and nostalga plays a big part . The best you can hope for is drinking buddies after work well that's as far as I will let myself get with work colleges,"I'm 30 and have a best friend I've known since I was 10. We're both married with kids and live 20 miles apart. We see each other every week and have a WhatsApp group with our other best friends from school.
I'm very lucky."
52,1572492316908060672,"['Spain', 'the 30th']",['Ireland'],Oh hopefully that’s true. Flying to Spain in the 30th.,"It's not true, it's always raining in Ireland."
53,fj8lsj9,['Bunnings'],['Bunnings'],"I think I quite enjoy vegetarian sausages. I say think because my brain tells me the Bunnings snag is superior, but my stomach says otherwise. It’s a conundrum.","I think I quite enjoy vegetarian sausages. I say think because my brain tells me the Bunnings snag is superior, but my stomach says otherwise. It’s a conundrum."
54,fj65hzw,"['Glastonbury', 'Glastonbury']",['Wells'],"I was going to tell you to watch out for the swans, only to realise it isn’t Glastonbury. Nice picture! EDIT: Wells. Not Glastonbury.",Wells is a swan's paradise
55,fj54kus,['Matthew mchowevwr'],['McConaughey'],I really liked the gentlemen with Matthew mchowevwr you spell it,I think you mean McConaughey
56,1572561315880902656,[],['The Big Short'],Coming from dudes that have never put as much heart and sole into their passions to pursue something a very small percentage of people accomplish. Keep grinding and doing you! F the haters!,"I mean, you do realize that you're responding to a tweet from the guy who wrote ""The Big Short"", right?"
57,1578284701130768386,['Tracy'],['Tracy'],Thanks for these comments today Tracy. Needed validation after a heavy morning talk fest,I’m sure you did Tracy.
58,fj8np0e,"['SA', 'a month or so ago']",['UK'],Yes. I see you are in SA. It's because of the good rain we had a month or so ago coupled with what i imagine is a good amount of corpses in the hills from the fires. But mostly the rain.,"I'm in the UK, we're having a heatwave."
59,fj7lzl7,['Channel 4 to Sky years ago'],['Sky'],"Such a short term outlook by the governing bodies. The sport gets so much more exposure and interest (and new fans) by being on free to air, terrestrial TV. Cricket hemorrhaged fans when it went from Channel 4 to Sky years ago, same with Formula 1.",Sky will pay more for the rights.
60,fjcfl0e,['Taipans'],['Taipans'],Black mambas? He can get fucked. We have Taipans thank you very much.,"Taipans are just big brown snakes. 
Black mambas are the most venomous snake in the world."
61,fjcbyzn,"['Infosys', 'TCS', 'Wipro']",['Bajaj'],"If i have to guess, Infosys, TCS or Wipro",Bajaj
62,fjcdjph,[],['shitcoin'],"And then there was Bitcoin. Deflationary currency, open, decentralized, censorship resistant, pseudo anonymous, backed by the most powerful computer network ever. www.bitcoin.org Bitcoin is likely to become the world reserve currency due to its limited supply, monetary policy, and the fact that no human can make changes to the network or money supply. Bitcoin protects you against inflation and governments screwing with your money.","And then there was shitcoin. Inflationary currency, centralized, censorship resistant, pseudo anonymous, backed by the most powerful marketing network ever. www.bitcoin.org Bitcoin is likely to become the world reserve currency due to its limited supply, monetary policy, and the fact that no human can make changes to the network or money supply. Bitcoin protects you against inflation and governments screwing with your money."
63,1572501312432111618,[],['8 years old'],"It wasn't about her or what she wore. I preferred Princess Anne's attitude. She wore a uniform, including trousers, didn't allow the press to witness a squeezed-out tear, was dignified and dutiful. Nothing about her. She knew she was photographed but didn't play to it. Heroic!",I think you’ll find she was 8 years old at the time.
64,1578645387061399552,['Dan Murphy'],['16'],Oh Prue. If you're at the point where you think trolling a child is a great idea Dan Murphy's really should hold an intervention.,She’s 16. She’s not a child.
65,fjae6dj,"['Dublin', 'Cork']","['Dublin', 'Cork', 'Dublin', 'Cork']",IMO there are far more important and pressing infrastructural issues to build right now than a pipe-dream high-speed rail to places that are sparsely populated. A metro for Dublin or any semblance of good public transport in Cork would be a start.,"> A metro for Dublin or any semblance of good public transport in Cork would be a start.
>
> A metro for Dublin or any semblance of good public transport in Cork would be a start.
> 
> 
> 
>"
66,fj52u3e,"['South Park', 'Douchebag']","['South Park', 'Douchebag', 'South Park', 'Douchebag']","I'd be walking around South Park being called 'Sir Douchebag'. So, about the same, with more snow.","I'd be walking around South Park being called 'Sir Douchebag'. So, about the same, with more snow.
I'd be walking around South Park being called 'Sir Douchebag'. So, about the same, with more snow."
67,1578338475841290240,['Elon Musk'],['Elon Musk'],Is Elon Musk buying Twitter or not,Is Elon Musk buying Twitter or not
68,fjckasp,"['the day', 'This Sunday', 'India']","['the day', 'This Sunday', 'India']","I'm waiting for the day when he messages, 'This Sunday, thinking of giving up my position as the Prime Minister of India. Will keep you all posted.'","I'm waiting for the day when he messages, 'This Sunday, thinking of giving up my position as the Prime Minister of India. Will keep you all posted.'"
69,fj9r7h0,"['bhakt', 'Hindu']",['the moon'],A bhakt friend told me that untouchability was designed to prevent such communicable diseases as the lower caste ppl who do the dirty work are more likely to have virus infections and such customs and traditions in Hindu religion that are criticised by ill informed liberals have a sound scientific reasoning behind them..,I'm sure he also told you that the earth is flat and that the moon landing was faked.
70,fj93pco,['days'],['all day'],"Where the Dart is always 11 to 14 minutes away, I've spent days of my life waiting there. The 2 minute walk down from main street would always fill me with anxiety as you have a clear view of the platform and any approaching trains that you are about to miss..",I've been waiting for this tweet all day.
71,1572501106613424128,"['Leicester', 'Iversen']",['Iversen'],"Fixtures matter of course, but Leicester's haven't been great either. You could maybe say they've been a *little* unlucky. You could also say that Iversen probably deserves a chance...",Iversen has been poor.
72,1538217355905581058,"['Connolly', '14', 'Joyce', 'Cork', 'under 21', 'Galway', 'Burke Mannion', 'Cooney', 'Michael donoghues']","['Cork', 'their early 20s']",Whatever the cork management decide blooding a spine of Connolly at 14 and Joyce at 6 Downey at 3 will benefit Cork hugely in the long run all players under 21 while Galway in opposite position had Burke Mannion and Cooney all seasoned players from Michael donoghues time,"Cork have a lot of young players, but they are all in their early 20s."
73,fj67ro9,"['Canberra', 'Some years']",['yesterday'],"In Canberra, fewer than normal. They must have been smoked out. Some years, the flies are bad.",I was there yesterday.  The flies were bad.
74,1538507672772874245,[],['The Sound of Music'],What was the first movie you saw at the cinema,The Sound of Music.
75,fj6caaj,"['1993', 'IM', '2004-2007', 'babri', 'Babri', 'hindu', 'Bhagat Singh']","['1993', '1993', '2008', '2013', '2020', '2022', '2050']","True. Back in 1993 or the IM run from 2004-2007, the bombings felt unfair because neither governments nor society supported babri. Babri was carried out by what was seen as a fringe extremist group, but everybody in society paid the price. I have no problem calling those bombings terrorism. But if bombings happen now, I'll actually call it armed resistance rather than condemn it as terrorism. Government, judiciary, media, police, bulk of hindu society itself - are arrayed against them. If they are forced into a fight they didn't want in the first place, it's not terrorism but resistance. Bhagat Singh might have thrown bombs, but he was not a terrorist - he was a resistance fighter.","I think you are missing the point.
Bombings are terrorism.
Period.
If you want to call it resistance, then you have to call the 1993 bombings as resistance too.
But that's not the case.
The 1993 bombings were terrorism.
The 2008 bombings were terrorism.
The 2013 bombings were terrorism.
The 2020 bombings will be terrorism.
The 2022 bombings will be terrorism.
The 2025 bombings will be terrorism.
The 2030 bombings will be terrorism.
The 2035 bombings will be terrorism.
The 2040 bombings will be terrorism.
The 2045 bombings will be terrorism.
The 2050 bombings will be terrorism.
The 2055 bombings will be terrorism.
The 2060 bombings will be terrorism.
The 2065 bombings will be terrorism.
The 2070 bombings"
76,1572500662725873664,['Badscandal Glen'],['the 1980s'],Who wants another Badscandal Glen power release,"I do, I have a soft spot for the 1980s."
77,fj5aysi,"['NFL', 'The New England Patriots', 'Baltimore', 'Super Bowls', 'Sunday']","['NFL', 'The New England Patriots', 'Baltimore', 'Super Bowls', 'Sunday']","The NFL is rigged. I mean, there’s too much money on the line per game for there not to be someone wanting to fix it. And it’d be so easy to: you don’t need to even tell the players, just have a coach make a bad call in a critical moment or have a ref make a call a certain way on a close play and that’s it. The New England Patriots are one of the most successful franchises in history, in one of the wealthiest parts of the country that has a ton of disposable income and a love of football. That’s no coincidence. The browns moved to Baltimore because it was more profitable for them. Super Bowls are blowouts or close games based on the highest payers’ time slots in the game. There’s billions of dollars flying around every Sunday for a third of the year, you know someone is going to want to make sure it gets in their hands.","The NFL is rigged. I mean, there's too much money on the line per game for there not to be someone wanting to fix it. And it'd be so easy to: you don't need to even tell the players, just have a coach make a bad call in a critical moment or have a ref make a call a certain way on a close play and that's it. The New England Patriots are one of the most successful franchises in history, in one of the wealthiest parts of the country that has a ton of disposable income and a love of football. That's no coincidence. The browns moved to Baltimore because it was more profitable for them. Super Bowls are blowouts or close games based on the highest payers' time slots in the game. There's billions of dollars flying around every Sunday for a third of the year, you know someone is going to want to make sure it gets in their hands."
78,fj64v9q,[],['year 7'],"Sorry if awkward, but does anyone else here masturbate to their classmates",I'm in year 7
79,fjcl5i7,['Chinese'],['Chinese'],Is it true there's more panic buying in Chinese neighbourhoods,There's more Chinese people in those neighbourhoods.
80,fjcgcga,[],"['Spain', 'a week']","Can we perhaps upgrade the travel advice for all these countries please? A ban, sure but most of them are “returning” from holidays",I'm sure the people who went to Spain for a week and are now stuck there are really grateful for the advice.
81,fjdb8zq,"['Jesus', 'Guardian']",['Guardian'],"I don't even know or care to know the truth because this is so obviously clickbait rubbish. The bane of internet information, Jesus. Does anyone have a decent news outlet other than The Guardian? Something that is simply information even, no clixkbait and sensational rubbish to entertain the lowest common denominator...",The Guardian is the lowest common denominator.
82,fjalljc,"['Partitioned', 'india', 'Pakistani', 'Los Angeles', 'Indian', 'Today', 'Muslims', 'Pakistan']","['Pakistani', 'Los Angeles', 'Indian', 'Today', 'Muslims', 'Pakistan', 'Pakistani', 'Los Angeles', 'Indian', 'Pakistani', 'Los Angeles', 'Indian', 'Pakistani', 'Los Angeles', 'Indian']","I always believed that Partitioned shouldn’t have happened and we should have been all living in one unified india. I am a Pakistani living in Los Angeles and have a lot of Indian friends. Today my views have changed, I am glad Muslims have Pakistan.","I am a Pakistani living in Los Angeles and have a lot of Indian friends.
Today my views have changed, I am glad Muslims have Pakistan.

You are a Pakistani living in Los Angeles and have a lot of Indian friends.
You are a Pakistani living in Los Angeles and have a lot of Indian friends.
You are a Pakistani living in Los Angeles and have a lot of Indian friends."
83,fj8zouf,[],['Ireland'],You’ll need to phone the number and ask for a reset.,112 is the number for emergencies in Ireland.
84,fj7t000,"['Greggs', 'Wetherspoons']","['Wetherspoons', 'Greggs']","I have said this many times before, and here it is again... Greggs is the Wetherspoons of bakeries: never your first choice, but good enough if nothing else is available.",I'd rather eat a Wetherspoons sandwich than a Greggs one.
85,1572566621730009090,[],['Ireland'],Tbf nobody is gonna trust an eagles fans judgement. Half of them eat horse poop on occasion.,I'm sure you'd be delighted to know that the horse poop is actually a delicacy in Ireland.
86,1538250708813758469,"['Clare v Kilkenny Galway v', 'Limerick']",['Cork v Kerry'],And then there were four Clare v Kilkenny Galway v Limerick,Cork v Kerry in the minor final
87,1572514088089165824,"['This Saturday', 'the Brain Tumour Research Walk of Hope', '2 years to the day', '24th September 2020', '2 years', 'yesterday']",['2018'],"This Saturday is the Brain Tumour Research Walk of Hope, it falls exactly 2 years to the day since we lost on 24th September 2020, to this terrible disease. I can't believe it will be 2 years. It feels like a life time ago &amp; yesterday at the same time.",I’m so sorry for your loss. I lost my dad to a brain tumour in 2018. It’s a terrible disease.
88,fj597f5,[],['the other day'],Flamingo Nosebleed is my favorite weird band name.,I was just thinking about them the other day.
89,1578308238814384130,"['French', 'French']",['the other day'],"My all time favourite reality tv moment was from ‘Joe Millionaire’ when a contestant walked off in an extravagant huff, performatively muttering French expletives into her mic, which the subtitles revealed were nonsense because she couldn’t actually speak French",I'm so glad you mentioned this. I was just thinking about it the other day.
90,1538456342813458432,"['Wexford', 'Wexford', 'Clare']","['Wexford', 'Clare']",Good win against a very average Wexford team. Subs &amp; fitness were the difference. FB line quite poor though. Wexford denied a stone wall penalty at the end. Both Clare midfield taken off too. Won't be good enough in the semi,Wexford were very poor. Clare were very good.
91,1577995583620468738,[],['UK'],Why is this news!,Because it's the only thing happening in the UK right now.
92,1580499792949485568,['Lee'],['Lee'],Good morning Lee.,Good morning Lee.
93,1538299305412411393,"['the coming weeks', 'months', 'Sligo']",['Donegal'],In the coming weeks or months I will need community groups. Sligo based preferably. Let me know if you are interested,"I'm in Donegal, but I'm sure we could work something out."
94,fjatv9b,"['US', 'Canada', 'chill']",['India'],"One thing to understand is, that this cannot be contained, all analysts are saying that countries can only buy time, while they get prepared. So it will definitely come, it is even spread to US and Canada. Also this is not a death sentence, chill and follow best practices.",I am not sure if you are aware of the situation in India. We don't have the luxury of time. We are already fucked.
95,1579755680902578176,['MNC'],['TCS'],First check if how many subsidiary co they have. Most of MNC have cent percent subsidiary co and all new business goes there in many such cases,I think you are talking about TCS.
96,1572551199819464705,['747'],['737'],Next up the 747?,The 737 MAX 2000
97,fj724ki,"['Guy', 'BJP']",['BJP'],Guy is my longtime fb friend. Very measured and rational person. Goes to show what happens to you if you criticize the PM or his riotous followers if you don't have any political backing and you live in BJP ruled state.,I think he is a BJP troll.
98,fja43ft,['a good day'],['a good day'],"I'm out with my family right now for dinner, it was a good day, maybe one of my best bday, thank you to each and everyone of you who wished me, it means a lot to me, I love you all ❤️.","I'm out with my family right now for dinner, it was a good day, maybe one of my best bday, thank you to each and everyone of you who wished me, it means a lot to me, I love you all ❤️."
